Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.0802503	5.13245e-06	1254.78	15635.9
1/delta	0.00610088	3.0066e-08	1237.97	202917
nu	0.0949696	4.70268e-07	19178.9	201948
053i	0.001027	3.28566e-08	32.1012	31257.2
117	0.000903036	2.82308e-08	28.886	31987.6
12.1.037	0.000315196	1.02155e-08	9.72532	30854.8
12.1.181	0.000378037	1.21954e-08	11.7185	30998.4
37	0.000328494	1.0551e-08	10.2272	31133.8
B71	0.000610609	1.98545e-08	18.7788	30754.2
BTBa-B1	0.000777533	2.25811e-08	26.7728	34433
BTBa-B2	0.00159811	4.40954e-08	57.9192	36242.2
BTGP1-b	0.00108704	3.04763e-08	38.773	35668.4
BTGS6e	0.000777538	2.19223e-08	27.5777	35468
BTGS6f	0.00102812	2.92661e-08	36.1176	35129.9
BTGS6g	0.000891841	2.51123e-08	31.673	35514.1
BTGS6h	0.00095916	2.69969e-08	34.0775	35528.5
BTJP4-1	0.00126607	3.52949e-08	45.4152	35871.1
BTJP4-11	0.00108369	3.07095e-08	38.2421	35288.6
BTJP4-12	0.000792793	2.26518e-08	27.7471	34999.2
BTJP4-15	0.00118997	3.34449e-08	42.3389	35579.9
BTJP4-16	0.000912313	2.61784e-08	31.7939	34849.8
BTJP4-18	0.000815241	2.3275e-08	28.555	35026.4
BTJP4-2	0.000554856	1.65213e-08	18.6344	33584.3
BTJP4-3	0.00116779	3.31603e-08	41.1252	35216.4
BTJP4-5	0.000998505	2.91481e-08	34.205	34256.2
BTJP4-6	0.000941896	2.64943e-08	33.4852	35550.8
BTJP4-9	0.00104147	2.89635e-08	37.449	35957.9
BTMP-S13-1	0.000734515	2.17514e-08	24.8036	33768.7
BTMP-S13-2	0.00117133	3.26728e-08	41.9926	35850.3
BdBar16-1	0.000621446	1.98959e-08	19.4108	31234.9
PY0925	0.000477966	1.52796e-08	14.9514	31281.3
ZMW18-06	0.000801684	2.47979e-08	25.9174	32328.7
ZMW18-08	0.00105157	3.2212e-08	34.3289	32645.3
ZMW18-10	0.000951412	2.95738e-08	30.6076	32170.7
ZMW18-11	0.000963408	2.96321e-08	31.3227	32512.3
ZMW19-09	0.000550034	1.71766e-08	17.6134	32022.4
ZMW19-13	0.00091101	2.76741e-08	29.9898	32919.3
ZMW19-17	0.00036667	1.13925e-08	11.8013	32185.1
ZMW20-03	0.000961005	2.96937e-08	31.1018	32363.9
ZMW20-04	0.000579777	1.8109e-08	18.5621	32015.9
ZMW20-07	0.000920215	2.86299e-08	29.5773	32141.7
ZMW20-14	0.00100668	3.03455e-08	33.3955	33173.9
ZMW20-15	0.000643786	2.02223e-08	20.4952	31835.5
ZMW20-16	0.000916673	2.78564e-08	30.165	32907.1
NODE_42	0.00154448	4.21164e-08	56.6388	36671.7
NODE_43	0.000971076	2.61945e-08	35.9996	37071.8
NODE_45	0.647524	2.02349e-05	20721	32000.3
NODE_46	0.000561408	1.51358e-08	20.8235	37091.4
NODE_47	0.00035033	9.31495e-09	13.1757	37609.4
NODE_48	0.000344208	9.17988e-09	12.9064	37495.9
NODE_49	0.000291108	7.72293e-09	10.973	37693.9
NODE_50	0.000518003	1.38488e-08	19.3755	37404.2
NODE_51	0.00057268	1.52615e-08	21.4895	37524.5
NODE_52	0.000250043	6.62986e-09	9.43027	37714.6
NODE_53	0.000488429	1.30108e-08	18.3358	37540.4
NODE_54	0.000638185	1.70111e-08	23.942	37515.8
NODE_55	0.000251083	6.66172e-09	9.4634	37690.4
NODE_56	0.00033762	8.97428e-09	12.7016	37620.9
NODE_57	0.000413758	1.10992e-08	15.4241	37278.1
NODE_58	0.000454565	1.20939e-08	17.0854	37586.2
NODE_59	0.000161789	4.29247e-09	6.09804	37691.3
NODE_60	0.00014451	3.8333e-09	5.44782	37698.6
NODE_61	0.000492515	1.32021e-08	18.3736	37305.7
NODE_62	0.000158385	4.19617e-09	5.97822	37745
NODE_63	0.000270966	7.19716e-09	10.2016	37649
NODE_64	0.000717825	1.92559e-08	26.7591	37278.1
NODE_65	0.000896276	2.39985e-08	33.4734	37347.2
NODE_66	0.00110547	3.07982e-08	39.6794	35893.9
NODE_68	0.00103758	2.98869e-08	36.0215	34716.9
NODE_69	0.000748683	2.04614e-08	27.3943	36590
NODE_70	0.000516809	1.4068e-08	18.9858	36736.5
NODE_71	0.000885075	2.42883e-08	32.2525	36440.4
NODE_72	0.000765095	2.11983e-08	27.6141	36092.4
NODE_73	0.000644855	1.75428e-08	23.7042	36758.9
NODE_74	0.000801107	2.19129e-08	29.2875	36558.7
NODE_75	0.000550419	1.48124e-08	20.4532	37159.2
NODE_76	0.000383247	1.02838e-08	14.2825	37267.1
NODE_77	0.000710377	1.91155e-08	26.3992	37162.3
NODE_78	0.000376503	1.00065e-08	14.1663	37625.9
NODE_79	0.000805907	2.21016e-08	29.3864	36463.8
