Sample	Coverage_MAT1-1-1	Coverage_MAT1-2-1
032i	3.35366	100
053i	25.6098	100
117	0	100
12.1.014	0	100
12.1.037	0	100
12.1.078	0	100
12.1.181	0	100
12.1.205	0	100
12.1.225	0	100
12.1.234	100	3.68421
12.1.241	98.0691	100
12.1.291	0	100
127	100	9.47368
169	100	33.2331
204	100	17.2932
205	0	100
37	0	100
BdBar16-1	0	100
Br116.5	100	0
Br118.2	0	100
BR32	7.72358	100
Br48	0	100
Br7	100	0
Br80	0	100
BTBa-B1	0	100
BTBa-B2	18.5976	100
BTGP1_b	0	100
BTGS6e	0	100
BTGS6f	0	100
BTGS6g	0	100
BTGS6h	9.14634	100
BTJP4_11	0	100
BTJP4_12	0	100
BTJP4_15	0	100
BTJP4_16	0	100
BTJP4_18	0	100
BTJP4_1	0	100
BTJP4_2	0	100
BTJP4_3	0	100
BTJP4_5	0	100
BTJP4_6	0	100
BTJP4_9	0	100
BTMP_S13_1	0	100
BTMP_S13_2	0	100
P29	0	100
PY0925	0	100
PY25.1	0	100
PY35.3	0	100
PY36.1	0	100
PY5003	100	2.55639
PY5033	0	100
PY5035	0	100
PY6017	7.52033	100
PY6025	0	100
PY6045	0	100
PY6047	9.55285	100
T25	0	100
ZMW18_06	0	100
ZMW18_08	0	100
ZMW18_10	0	100
ZMW18_11	0	100
ZMW19_09	0	100
ZMW19_13	0	100
ZMW19_17	0	100
ZMW20_03	0	100
ZMW20_04	0	100
ZMW20_07	0	100
ZMW20_14	0	100
ZMW20_15	0	100
ZMW20_16	0	100
