Isolate	Replicate	Lesion_size_mm_Fielder(-Rmg8)	Lesion_size_mm_S-615(+Rmg8)
BTJP4-16	1	5	2
BTJP4-16	2	5.3	2
BTJP4-16	3	5.5	2.2
BTJP4-16	4	5.5	2
BTJP4-16	5	5.2	2
BTJP4-16	6	5.2	2.2
BTJP4-16	7	5.1	2.1
BTJP4-16	8	4.8	2.2
BTJP4-16	9	4.8	2.4
BTJP4-16	10	5	2
NO6047	1	5	5
NO6047	2	5.1	5
NO6047	3	5.5	5.4
NO6047	4	5.2	5.2
NO6047	5	4.8	5.3
NO6047	6	5.3	5.1
NO6047	7	5.5	5.1
NO6047	8	4.9	5.4
NO6047	9	5.6	4.7
NO6047	10	5	4.8
Guy11	1	2.1	2
Guy11	2	2	2.2
Guy11	3	2	2.2
Guy11	4	2	2
Guy11	5	2.2	2.5
Guy11	6	2	2
Guy11	7	2	2.5
Guy11	8	2.2	2.1
Guy11	9	2	2
Guy11	10	2.3	2
ZMW20_07	1	5	2
ZMW20_07	2	5	2
ZMW20_07	3	5.5	2
ZMW20_07	4	6	2
ZMW20_07	5	5.5	2.2
ZMW20_07	6	5	2
ZMW20_07	7	5	2
ZMW20_07	8	5.5	2
ZMW20_07	9	5	2
ZMW20_07	10	5	2
ZMW18_08	1	5	2.5
ZMW18_08	2	5.1	2.2
ZMW18_08	3	4.8	2
ZMW18_08	4	5	2.5
ZMW18_08	5	4.8	2.2
ZMW18_08	6	5.3	2.5
ZMW18_08	7	5.5	2.2
ZMW18_08	8	5	2.1
ZMW18_08	9	5	2
ZMW18_08	10	5	2
ZMW18_10	1	5	2.1
ZMW18_10	2	5.1	2.2
ZMW18_10	3	5	2.1
ZMW18_10	4	5.2	2.2
ZMW18_10	5	4.8	2.2
ZMW18_10	6	5.3	2
ZMW18_10	7	5	2.1
ZMW18_10	8	5.2	2
ZMW18_10	9	5	2
ZMW18_10	10	5	2
ZMW18_11	1	5	2.1
ZMW18_11	2	5.2	2
ZMW18_11	3	5.2	2.1
ZMW18_11	4	5.7	2.1
ZMW18_11	5	5.5	2.1
ZMW18_11	6	5	2
ZMW18_11	7	5	2.5
ZMW18_11	8	5.2	2.1
ZMW18_11	9	5.5	2
ZMW18_11	10	5.1	2
ZMW19_13	1	5	1.8
ZMW19_13	2	5.2	2.1
ZMW19_13	3	5	2
ZMW19_13	4	5.1	2
ZMW19_13	5	5	2
ZMW19_13	6	5	2
ZMW19_13	7	5	1.9
ZMW19_13	8	5.2	2
ZMW19_13	9	5	2
ZMW19_13	10	5	2
ZMW20_14	1	5.1	2.1
ZMW20_14	2	5.2	2.2
ZMW20_14	3	5	2.1
ZMW20_14	4	5.1	2.1
ZMW20_14	5	5	2.2
ZMW20_14	6	5	2.1
ZMW20_14	7	5	2
ZMW20_14	8	5.2	2
ZMW20_14	9	5	2
ZMW20_14	10	5.1	2
ZMW20_16	1	5.5	2
ZMW20_16	2	5.2	2.1
ZMW20_16	3	5	2
ZMW20_16	4	5.5	2
ZMW20_16	5	5.3	2
ZMW20_16	6	5	2.2
ZMW20_16	7	5	2
ZMW20_16	8	5.2	2
ZMW20_16	9	5	2
ZMW20_16	10	5.1	2
ZMW19_17	1	5	1.8
ZMW19_17	2	4.8	2
ZMW19_17	3	4.6	2
ZMW19_17	4	4.8	2
ZMW19_17	5	4.8	2
ZMW19_17	6	4.5	2
ZMW19_17	7	5	1.7
ZMW19_17	8	5	2
ZMW19_17	9	4.9	2
ZMW19_17	10	5.1	2
ZMW20_03	1	4	2
ZMW20_03	2	4.8	2.2
ZMW20_03	3	6	2
ZMW20_03	4	5	2
ZMW20_03	5	5	2.2
ZMW20_03	6	6	2
ZMW20_03	7	5	2.5
ZMW20_03	8	5.2	2.1
ZMW20_03	9	5	2
ZMW20_03	10	5.1	2
ZMW20_04	1	5.2	2.5
ZMW20_04	2	5.3	2.3
ZMW20_04	3	5.5	2.2
ZMW20_04	4	5.1	2.3
ZMW20_04	5	5.3	2.4
ZMW20_04	6	5.2	2.5
ZMW20_04	7	5.2	2
ZMW20_04	8	5	2.5
ZMW20_04	9	5.4	2.3
ZMW20_04	10	5.5	2
ZMW20_07	1	5	NA
ZMW20_07	2	5	NA
ZMW20_07	3	5.5	NA
ZMW20_07	4	6	NA
ZMW20_07	5	5.5	NA
ZMW20_07	6	5.1	NA
ZMW20_07	7	5	NA
ZMW20_07	8	5.2	NA
ZMW20_07	9	5.4	NA
ZMW20_07	10	6.1	NA
ZMW19_09	1	5	2.1
ZMW19_09	2	5.1	1.7
ZMW19_09	3	5	2
ZMW19_09	4	5.2	2.5
ZMW19_09	5	5.1	2
ZMW19_09	6	5	1.8
ZMW19_09	7	5	2.1
ZMW19_09	8	5.3	1.7
ZMW19_09	9	5	2.5
ZMW19_09	10	5.2	1.8
ZMW20_15	1	4.8	1.8
ZMW20_15	2	4.8	1.8
ZMW20_15	3	4.7	2
ZMW20_15	4	4.6	1.6
ZMW20_15	5	4.8	2
ZMW20_15	6	5	1.8
ZMW20_15	7	4.8	1.8
ZMW20_15	8	4.7	1.7
ZMW20_15	9	4.7	1.6
ZMW20_15	10	4.9	1.8
ZMW20_15	11	4.9	NA
ZMW18_06	1	4.8	1.8
ZMW18_06	2	4.8	1.5
ZMW18_06	3	4.8	1.7
ZMW18_06	4	4.6	2
ZMW18_06	5	5	1.8
ZMW18_06	6	4.8	2
ZMW18_06	7	4.7	2
ZMW18_06	8	4.9	1.8
ZMW18_06	9	5	1.5
ZMW18_06	10	4.7	1.9
