Node	Beg	End
053i	898	2350
053i	2637	2986
053i	4916	5884
053i	6831	7203
053i	7421	8252
053i	8405	8501
053i	13727	13998
053i	18276	18331
053i	18540	18615
053i	19354	19369
053i	23082	23196
053i	23526	24010
053i	25044	25815
053i	26795	27613
117	1223	1486
117	2371	2586
117	2748	2856
117	4667	5870
117	6649	6680
117	6902	8648
117	13674	13784
117	13941	14023
117	18428	18663
117	23037	24007
117	25033	25700
117	26789	27768
12.1.037	1	8
12.1.037	1276	1362
12.1.037	2615	2753
12.1.037	4675	5884
12.1.037	6643	8650
12.1.037	13645	14013
12.1.037	14960	15073
12.1.037	17567	17573
12.1.037	18276	18836
12.1.037	19175	19199
12.1.037	19372	19430
12.1.037	21352	21354
12.1.037	23004	24028
12.1.037	25032	25588
12.1.037	25758	25818
12.1.037	26791	27768
12.1.181	1255	1354
12.1.181	2411	2600
12.1.181	4691	5868
12.1.181	6635	7596
12.1.181	7802	8256
12.1.181	13652	14025
12.1.181	14988	15078
12.1.181	15420	15435
12.1.181	18257	18845
12.1.181	19172	19207
12.1.181	19697	19701
12.1.181	21332	21375
12.1.181	22996	24026
12.1.181	25053	25817
12.1.181	26836	27768
37	1	4
37	1264	1335
37	2408	2410
37	2597	2781
37	4666	5869
37	6646	8505
37	11893	11922
37	13664	14025
37	14963	15076
37	17556	17572
37	18254	18822
37	19169	19233
37	19697	19711
37	23026	23253
37	23478	24018
37	25044	25816
37	26836	27768
B71	1278	1354
B71	2530	2560
B71	4669	5884
B71	6642	7617
B71	7775	8259
B71	8442	8503
B71	13647	13774
B71	13953	14009
B71	14951	15077
B71	17559	17576
B71	18276	18834
B71	19164	19510
B71	21327	21529
B71	22132	22136
B71	22997	24024
B71	25033	25815
B71	26783	26799
B71	27047	27768
BTBa-B1	1297	1341
BTBa-B1	2523	2568
BTBa-B1	4794	5881
BTBa-B1	6967	7600
BTBa-B1	7885	7926
BTBa-B1	8152	8250
BTBa-B1	8460	8485
BTBa-B1	18302	18569
BTBa-B1	19147	19173
BTBa-B1	23535	23913
BTBa-B1	25082	25575
BTBa-B1	25739	25751
BTBa-B1	27164	27374
BTBa-B1	27607	27707
BTBa-B2	5789	5842
BTBa-B2	7458	7598
BTBa-B2	7898	8170
BTBa-B2	18528	18592
BTBa-B2	19170	19216
BTBa-B2	23346	23486
BTBa-B2	23659	23663
BTBa-B2	25036	25189
BTBa-B2	25540	25561
BTBa-B2	25739	25814
BTBa-B2	27149	27347
BTGP1-b	1336	1364
BTGP1-b	2530	2575
BTGP1-b	4807	4919
BTGP1-b	5772	5879
BTGP1-b	7061	7595
BTGP1-b	7802	7812
BTGP1-b	18271	18368
BTGP1-b	18582	18832
BTGP1-b	19169	19197
BTGP1-b	23724	23934
BTGP1-b	25038	25300
BTGP1-b	25510	25564
BTGP1-b	27370	27381
BTGP1-b	27711	27768
BTGS6e	2543	2549
BTGS6e	4671	4814
BTGS6e	4967	5110
BTGS6e	5337	5628
BTGS6e	5790	5867
BTGS6e	6855	7115
BTGS6e	7282	7537
BTGS6e	7860	7926
BTGS6e	8152	8259
BTGS6e	18427	18628
BTGS6e	19170	19216
BTGS6e	23343	23746
BTGS6e	25078	25239
BTGS6e	25558	25596
BTGS6f	4714	4990
BTGS6f	5442	5774
BTGS6f	6998	7334
BTGS6f	7863	7960
BTGS6f	13670	13674
BTGS6f	14997	15004
BTGS6f	23053	23058
BTGS6f	23472	23490
BTGS6f	23861	23994
BTGS6f	25038	25575
BTGS6f	27097	27768
BTGS6g	1297	1322
BTGS6g	4776	5034
BTGS6g	5332	5856
BTGS6g	7054	7276
BTGS6g	7452	7491
BTGS6g	7776	8259
BTGS6g	13984	14001
BTGS6g	19182	19205
BTGS6g	23059	23284
BTGS6g	25292	25561
BTGS6g	25739	25816
BTGS6g	27260	27460
BTGS6g	27704	27768
BTGS6h	2523	2568
BTGS6h	4774	5108
BTGS6h	5445	5521
BTGS6h	6855	7324
BTGS6h	7880	7934
BTGS6h	13720	13785
BTGS6h	18266	18275
BTGS6h	18589	18819
BTGS6h	23656	23726
BTGS6h	25090	25596
BTGS6h	27129	27768
BTJP4-1	2455	2460
BTJP4-1	4807	4828
BTJP4-1	5497	5628
BTJP4-1	7452	7471
BTJP4-1	7961	8259
BTJP4-1	18268	18342
BTJP4-1	18593	18665
BTJP4-1	23053	23247
BTJP4-1	23478	23499
BTJP4-1	25076	25293
BTJP4-1	25558	25649
BTJP4-1	27282	27450
BTJP4-11	2509	2557
BTJP4-11	4793	5622
BTJP4-11	6970	7244
BTJP4-11	7452	7595
BTJP4-11	7797	7924
BTJP4-11	18653	18804
BTJP4-11	23112	23888
BTJP4-11	25322	25743
BTJP4-11	27116	27282
BTJP4-11	27704	27768
BTJP4-12	2452	2579
BTJP4-12	4665	5089
BTJP4-12	5447	5880
BTJP4-12	6954	7169
BTJP4-12	7961	8202
BTJP4-12	18582	18752
BTJP4-12	23113	23164
BTJP4-12	23890	23992
BTJP4-12	25276	25585
BTJP4-12	27077	27768
BTJP4-15	1297	1322
BTJP4-15	4807	5085
BTJP4-15	5349	5521
BTJP4-15	6856	7322
BTJP4-15	7870	8248
BTJP4-15	14977	14993
BTJP4-15	18252	18787
BTJP4-15	23349	23667
BTJP4-15	25280	25328
BTJP4-15	25505	25570
BTJP4-15	27089	27263
BTJP4-16	1317	1322
BTJP4-16	2407	2560
BTJP4-16	5075	5089
BTJP4-16	5442	5836
BTJP4-16	6639	6752
BTJP4-16	7245	7599
BTJP4-16	7928	8245
BTJP4-16	13670	13673
BTJP4-16	18589	18669
BTJP4-16	23019	23418
BTJP4-16	23771	23957
BTJP4-16	25033	25322
BTJP4-16	25540	25782
BTJP4-16	27077	27460
BTJP4-18	1271	1341
BTJP4-18	2523	2575
BTJP4-18	5076	5247
BTJP4-18	5690	5855
BTJP4-18	7331	7595
BTJP4-18	7882	7976
BTJP4-18	8135	8209
BTJP4-18	18264	18335
BTJP4-18	18589	18793
BTJP4-18	23053	23220
BTJP4-18	25066	25819
BTJP4-18	27086	27768
BTJP4-2	2530	2572
BTJP4-2	4670	5881
BTJP4-2	7012	7551
BTJP4-2	7860	8251
BTJP4-2	14993	15065
BTJP4-2	15423	15425
BTJP4-2	18276	18787
BTJP4-2	19170	19197
BTJP4-2	19361	19375
BTJP4-2	23247	23831
BTJP4-2	25078	25814
BTJP4-2	27158	27473
BTJP4-2	27731	27768
BTJP4-3	1298	1341
BTJP4-3	2523	2529
BTJP4-3	4665	5082
BTJP4-3	5441	5530
BTJP4-3	5816	5881
BTJP4-3	6992	7136
BTJP4-3	7496	7596
BTJP4-3	7880	7987
BTJP4-3	8210	8251
BTJP4-3	13720	13724
BTJP4-3	18268	18411
BTJP4-3	21361	21383
BTJP4-3	22987	23185
BTJP4-3	23667	23986
BTJP4-3	25076	25603
BTJP4-3	27077	27131
BTJP4-3	27643	27693
BTJP4-5	1279	1322
BTJP4-5	2546	2560
BTJP4-5	4703	5706
BTJP4-5	6892	7616
BTJP4-5	8099	8256
BTJP4-5	18268	18391
BTJP4-5	19172	19201
BTJP4-5	23127	23264
BTJP4-5	23415	23987
BTJP4-5	25060	25575
BTJP4-5	27129	27507
BTJP4-6	1297	1363
BTJP4-6	4665	4984
BTJP4-6	5442	5822
BTJP4-6	7004	7595
BTJP4-6	7957	8140
BTJP4-6	18589	18592
BTJP4-6	21350	21361
BTJP4-6	23385	23476
BTJP4-6	23674	23944
BTJP4-6	25346	25349
BTJP4-6	25513	25517
BTJP4-6	25706	25816
BTJP4-6	27181	27347
BTJP4-9	4832	5163
BTJP4-9	5461	5521
BTJP4-9	7120	7150
BTJP4-9	7415	7617
BTJP4-9	7806	7964
BTJP4-9	13670	13674
BTJP4-9	18562	18793
BTJP4-9	23127	23172
BTJP4-9	23487	23749
BTJP4-9	25067	25220
BTJP4-9	25477	25591
BTMP-S13-1	2523	2575
BTMP-S13-1	4671	5305
BTMP-S13-1	5595	5881
BTMP-S13-1	6669	7595
BTMP-S13-1	7801	8256
BTMP-S13-1	13670	13788
BTMP-S13-1	18366	18609
BTMP-S13-1	23067	23155
BTMP-S13-1	23533	23831
BTMP-S13-1	25032	25816
BTMP-S13-1	27123	27398
BTMP-S13-2	1260	1297
BTMP-S13-2	4665	4919
BTMP-S13-2	5658	5854
BTMP-S13-2	7063	7127
BTMP-S13-2	7419	7500
BTMP-S13-2	23053	23185
BTMP-S13-2	23343	23754
BTMP-S13-2	25039	25596
BTMP-S13-2	27116	27119
BTMP-S13-2	27600	27606
BdBar16-1	1278	1340
BdBar16-1	2405	2579
BdBar16-1	4663	5875
BdBar16-1	6647	7617
BdBar16-1	7854	8259
BdBar16-1	13648	14011
BdBar16-1	14960	15081
BdBar16-1	15418	15433
BdBar16-1	18255	18691
BdBar16-1	19163	19550
BdBar16-1	21357	21378
BdBar16-1	22132	22136
BdBar16-1	23036	24027
BdBar16-1	25034	25811
BdBar16-1	26800	26805
BdBar16-1	27048	27768
PY0925	1256	1316
PY0925	2455	2460
PY0925	2615	2725
PY0925	4671	5881
PY0925	6637	7265
PY0925	7421	8252
PY0925	8408	8502
PY0925	11895	11928
PY0925	13691	13971
PY0925	14973	15076
PY0925	18254	18840
PY0925	23069	23253
PY0925	23478	24027
PY0925	25033	25816
PY0925	26825	27768
ZMW18-06	898	2323
ZMW18-06	2623	2975
ZMW18-06	4676	5140
ZMW18-06	5358	5860
ZMW18-06	6651	6727
ZMW18-06	6894	7531
ZMW18-06	7802	8124
ZMW18-06	18263	18809
ZMW18-06	23026	23097
ZMW18-06	23353	23383
ZMW18-06	23557	23814
ZMW18-06	25038	25749
ZMW18-06	27050	27238
ZMW18-06	27512	27768
ZMW18-08	913	2348
ZMW18-08	2604	2967
ZMW18-08	4774	5246
ZMW18-08	5434	5826
ZMW18-08	6891	7141
ZMW18-08	7919	8140
ZMW18-08	18496	18831
ZMW18-08	23336	24024
ZMW18-08	25060	25822
ZMW18-08	26803	26811
ZMW18-08	27097	27282
ZMW18-08	27514	27768
ZMW18-10	898	2972
ZMW18-10	4674	5178
ZMW18-10	5540	5873
ZMW18-10	6649	6751
ZMW18-10	6933	7539
ZMW18-10	7912	8259
ZMW18-10	8460	8485
